customer_uid,purchase_date,total
VIP_001,2026-06-20,240.00
VIP_001,2026-06-10,195.00
VIP_001,2026-05-29,210.00
VIP_002,2026-06-18,180.00
VIP_002,2026-06-03,165.00
VIP_003,2026-06-16,150.00
CORE_001,2026-06-12,92.00
CORE_001,2026-05-31,88.00
CORE_001,2026-05-10,84.00
CORE_002,2026-06-09,76.00
CORE_002,2026-05-24,82.00
CORE_003,2026-06-05,68.00
NEW_001,2026-06-19,42.00
NEW_002,2026-06-18,58.00
NEW_003,2026-06-17,35.00
RISK_001,2026-04-23,260.00
RISK_001,2026-03-28,230.00
RISK_002,2026-04-10,205.00
WARM_001,2026-05-07,72.00
WARM_001,2026-04-08,69.00
DRIFT_001,2026-03-15,54.00
DRIFT_002,2026-02-26,49.00
SLEEP_001,2026-01-10,310.00
SLEEP_001,2025-12-03,280.00
COLD_001,2026-02-03,86.00
COLD_001,2025-11-26,78.00
TAIL_001,2025-09-12,33.00
TAIL_002,2025-08-03,28.00
TAIL_003,2025-10-15,24.00
